,result,refined_reviews
332,0,there are so many problems i dont know where to start.  
333,1,the cast was great.  
334,1,"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  "
335,1,add betty white and jean smart and you have a great cast - everyone played their parts really well.  
336,0,but the movie makes a lot of serious mistakes.  
337,0,"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  "
338,0,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  
339,0,"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  "
340,0,there is no real plot.  
341,0,i wouldnt see this movie again for free.  
342,1,STEAMBOAT WILLIE is an amazingly important film to our cinema history.  
343,1,This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  
344,1,"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  "
345,1,"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  "
346,1,"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  "
347,1,Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  
348,0,"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  "
349,0,"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  "
350,1,The original Body and Soul (1947) is a masterpiece.  
351,1,"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  "
352,0,I don't think there are any redeeming qualities in this remake.  
353,0,This may be the only bad film he ever made.  
354,0,So bad...well...it's just bad.  
355,0,"This movie is a solid example of a bad plot and a very, very bad idea all the way.  "
356,0,It's a shame to see good actors like Thomerson and James make a living in a mess like this.  
357,0,I thought it was bad.  
358,0,"Both films are terrible, but to the credit of the 1986 version, it was watchable.  "
359,0,"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  "
360,0,The script is a big flawed mess.  
361,0,The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  
362,0,"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  "
363,0,The movie is terribly boring in places.  
364,0,The lighting is awful.  
365,0,The film looks cheap and bland.  
366,0,One of the most disappointing aspects is the lack of notable gore.  
367,0,"This convention never worked well in the past, and certainly doesn't work here.  "
368,0,The visual effects were AWFUL.  
369,0,The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  
370,0,"The ""explosion"" of the Gas tanks at the end was just as awful.  "
371,1,"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  "
372,1,"Gotta love those close-ups of slimy, drooling teeth!  "
373,0,"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  "
374,0,Not recommended.  
375,0,"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  "
376,0,"Aside from it's terrible lead, this film has loads of other debits.  "
377,0,"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  "
378,0,"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  "
379,1,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  
380,0,"With the originality and freshness of the first movie now spent, this remake had little else to offer.  "
381,0,The budget was evidently very limited.  
382,0,"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  "
383,0,"However, here there was no decent acting, action or location work to balance things up.  "
384,0,Filmiing was less expansive.  
385,0,It failed to convey the broad sweep of landscapes that were a great part of the original.  
386,0,Generally; it just lacked imagination.  
387,0,Not recommended.  
388,0,Is it possible for a movie to get any worse than this?  
389,0,There is no plot here to keep you going in the first place.  
390,0,"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  "
391,0,"Beware: this is not a trashy cult movie, this is trash -period!  "
392,0,I can't believe there's even a sequel to this!  
393,0,Which is precisely why I am giving it such a bad review!  
394,1,"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  "
395,1,"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  "
396,1,The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  
397,1,"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  "
398,1,The characters were all funny and had the peculiarity of not having a true lead character.  
399,1,Every single character was hilarious and deserved to be called a lead.  
400,0,"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  "
401,0,"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  "
402,1,Perabo has a nice energy level and is obviously very comfortable in front of a camera.  
403,0,There is simply no excuse for something this poorly done.  
404,0,I saw this movie and I thought this is a stupid movie.  
405,0,What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  
406,0,"To be honest with you, this is unbelievable nonsense and very foolish.  "
407,0,"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  "
408,0,The story line is just awful!  
409,0,It's just painful!  
410,0,And the accents are absolutely abysmal!  
411,0,There's also enough hypocrisy in this film to make me vomit.  
412,0,Don't waste your time watching this rubbish non-researched film.  
413,1,I believe that Pitch Black was done well.  
414,1,"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  "
415,1,Go watch it!  
416,0,Omit watching this.  
417,1,VERY funny!  
418,0,My rating: just 3 out of 10.  
419,1,The characters are interesting and you really care for them.  
420,1,"An instant classic, with a great soundtrack and a catchy song during the ending credits.  "
421,1,Don't miss it.  
422,1,"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  "
423,1,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  "
424,1,"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  "
425,1,"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  "
426,0,The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  
427,0,"Regardless, the film fails on most levels.  "
428,0,Avoid at all costs.  
429,1,"I saw this film over Christmas, and what a great film it was!  "
430,1,I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  
431,1,His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  
432,1,"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  "
433,1,But it wasn't until I watched this film that I realised how great he actually was.  
434,1,I'll give this film 10 out of 10!  
435,0,"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  "
436,0,"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  "
437,1,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  "
438,1,"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  "
439,1,Nevertheless yet another wonderful film from the great master's stable.  
440,1,I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  
441,1,Excellently produced by one of Sci-fi's best producers Scot Vandiver !  
442,1,"But it is entertaining, nonetheless.  "
443,1,It's a campy sort of film that's a joy to watch.  
444,1,There's barely a boring moment in the film and there are plenty of humorous parts.  
445,1,The cast is always entertaining as usual.  
446,1,"Overall, a delight!  "
447,0,"This movie is so mind-bendingly awful, it couldn't have even been created.  "
448,0,The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  
449,0,The least said about the acting the better.  
450,1,This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  
451,1,I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  
452,1,Nothing short of magnificent photography/cinematography in this film.  
453,1,"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  "
454,1,Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  
455,1,Excellent performance.  
456,1,There still are good actors around!  
457,1,Also great directing and photography.  
458,1,"Very true to Shakespear, and a 'must' for all Shakespear fans.  "
459,1,"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  "
460,1,"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  "
461,1,"If you love death and decay, and Shakespears lyrics... this is the one.  "
462,1,"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  "
463,1,"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  "
464,1,"However Paul Schrader has indeed made a film ""about"" Mishima that is both superb & complex.  "
465,1,Also notable is John Bailey's fine crisp beautifully colored cinematography and the great production design & costumes by Eiko Ishioka who went on to do the memorable costumes for Coppola's Dracula for which she received a well deserved Oscar.  
466,0,"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  "
467,0,"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  "
468,1,"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  "
469,0,It is not good.  
470,0,"Speaking of the music, it is unbearably predictably and kitchy.  "
471,0,Then the film just dropped the ball.  
472,1,This is a stunning movie.  
473,1,Raw and sublimely moving.  
474,1,"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  "
475,1,All of the main players are mesmerising.  
476,1,Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  
477,1,Julian Fellowes has triumphed again.  
478,1,He's a national treasure.  
479,1,GO AND SEE IT!  
480,1,This is an excellent film.  
481,1,The aerial scenes were well-done.  
482,1,It was also the right balance of war and love.  
483,1,"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  "
484,1,Kris Kristoffersen is good in this movie and really makes a difference.  
485,1,A good film by a great director!  
486,1,This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  
487,0,"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  "
488,1,This is just a great movie.  
489,1,10 out of 10 stars.  
490,0,I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  
491,0,It's so bad it's actually worth seeing just for that reason.  
492,1,Punishment Park is a brilliant piece of cinema.  
493,1,"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  "
494,1,This is one of Peter Watkins most accessible films.  
495,1,I advise you to look out for it.  
496,1,You wont regret it!  
497,1,Highly recommended A+  
498,0,Well... Just if you keep thinking how bad it is.  
499,0,"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  "
500,0,It's a case of 'so bad it is laughable'.  
501,0,") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  "
502,0,"It is a film about nothing, just a pretext to show ridiculous action scenes.  "
503,0,How awful she is!  
504,0,"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  "
505,0,"The results, well, are a shame.  "
506,0,DELETE this film from your mind!  
507,0,One of the worst shows of all time.  
508,0,The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  
509,0,"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  "
510,0,Never heard of any of them except Cole who was totally unbelievable in the part.  
511,0,"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  "
512,0,The stories were as unbelievable as the actors.  
513,0,Lame would be the best way to describe it.  
514,1,"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  "
515,1,The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  
516,1,The attractive set used throughout most of the film is an eye-pleasing gem.  
517,0,"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  "
518,0,"The lines, the cuts, the audio, everything is wrong.  "
519,0,You can find better movies at youtube.  
520,0,"Top line: Don't waste your time and money on this one, its as bad as it comes.  "
521,0,"A Lassie movie which should have been ""put to sleep"".... FOREVER.  "
522,0,That's how I'd describe this painfully dreary time-waster of a film.  
523,0,"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  "
524,0,"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  "
525,0,"It's an empty, hollow shell of a movie.  "
526,0,"Seriously, it's not worth wasting your, or your kid's time on.  "
527,0,"Avoid, avoid, avoid!  "
528,0,It will drive you barking mad!  
529,1,The transfers are very good.  
530,1,Very nice and relaxing late night viewing.  
531,1,The movie is full of wonderful dancing (hence the title!  
532,1,") some great music, and terrific scenery.  "
533,1,"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  "
534,1,") a happy, wonderful, feel good ending!  "
535,1,"The point is the journey, a journey that touches every member of the family.  "
536,1,It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  
537,0,Nothing new there.  
538,0,That was done in the second movie.  
539,0,The movie has almost no action scenes in it and very little comedy.  
540,0,The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  
541,0,What on earth is Irons doing in this film?  
542,1,I just saw this film and I recommend it.  
543,1,"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  "
544,1,"A very good film indeed, about great and unconditional love.  "
545,1,"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  "
546,1,"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  "
547,1,"Despite the pans of reviewers, I liked this movie.  "
548,1,"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  "
549,1,"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  "
550,1,"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  "
551,1,I guess I liked the details of his dysfunction--he was believable.  
552,0,The football scenes at the end were perplexing.  
553,1,But I thought his acting was skilled.  
554,1,Meredith M was better than all right.  
555,1,A very charming film with wonderful sentiment and heart.  
556,1,It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  
557,1,Nine out of ten for a truly lovely film.  
558,1,This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  
559,1,This is one of the best Italian thrillers of the early 70's.  
560,1,A standout scene.  
561,0,This scene is very strong and unpleasant.  
562,1,"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  "
563,1,It's still wild stuff though and is highly recommended to fans of giallo cinema.  
564,1,The movie was very interesting from beginning to the end.  
565,1,I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  
566,1,This movie is also revealing.  
567,1,"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  "
568,0,And it was boring.  
569,0,"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  "
570,1,PS the only scene in the movie that was cool is when the central character finds her room blown up.  
571,1,"It's a fresh, subtle, and rather sublime effect.  "
572,1,"An Italian reviewer called this ""a small, great film,"" and that's right.  "
573,1,"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  "
574,1,"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  "
575,1,"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  "
576,1,Also the music by Mark Snow is possibly the best score I've ever heard.  
577,1,You won't forget this movie!  
578,0,Why was this film made?  
579,0,The film has an ultra-cheap look to it.  
580,0,The result is a film that just don't look right.  
581,0,None of them are engaging or exciting.  
582,0,The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  
583,0,The Foreigner is not worth one second of your time.  
584,1,"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  "
585,1,But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  
586,1,This movie is so awesome!  
587,1,"I loved it, it was really scary.  "
588,1,I love the Scream movies and all horror movies and this one ranks way up there.  
589,1,If you want a real scare rent this one!  
590,1,10/10  
591,1,This is an extraordinary film.  
592,1,"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  "
593,1,"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  "
594,1,"The film is well paced, understated and one of the best courtroom documentaries I've seen.  "
595,1,This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.  
596,1,"Predictable, but not a bad watch.  "
597,1,It was clear that she had the range and ability to pull off this part.  
598,1,She carries the movie well.  
599,1,Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  
600,1,"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  "
601,0,"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  "
602,0,"In fact, this stinker smells like a direct-to-video release.  "
603,0,Avoid at ALL costs!  
604,0,Star Trek V The final Frontier is the worst in the series.  
605,0,"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  "
606,0,The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  
607,0,The only place good for this film is in the garbage.  
608,0,The worst one of the series.  
609,1,Editing: The editing of this film was phenomenal in my opinion.  
610,1,"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  "
611,1,Cinematography: The film was shot in an interesting way.  
612,1,"Of course the footage from the 70s was grainy, but that only enhanced the film.  "
613,1,This film offers many delights and surprises.  
614,1,"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  "
615,1,The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  
616,1,You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  
617,1,But this understated film leaves a lasting impression.  
618,1,The warmth it generates is in contrast to its austere backdrop.  
619,1,You will leave the theater wanting to go out and dance under the stars.  
620,1,"The acting, as you'd expect from this cast, is top notch.  "
621,1,"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  "
622,1,"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  "
623,1,Conclusion - I loved it.  
624,1,It's a long time since I was so entertained by a movie.  
625,1,I struggle to find anything bad to say about it.  
626,1,"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.  "
627,1,"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  "
628,1,"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  "
629,1,"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  "
630,1,Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  
631,1,Trumbull on I LOVE LUCY).  
632,1,See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  
633,1,See both films if you can.  
634,1,"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  "
635,1,"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  "
636,0,Very disappointed and wondered how it could be in the Oscar shortlist.  
637,0,It's very slow.  
638,0,Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  
639,0,) Don't waste your time.  
640,0,End of Days is one of the worst big-budget action movies I've ever seen.  
641,0,He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  
642,0,This was one of the worst films i have ever seen.  
643,0,I'm still trying to get over how bad it was.  
644,1,This movie is possibly one of the most creative works of horror ever.  
645,1,"It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brainsucking movies, look no further.  "
646,1," With great sound effects, and impressive special effects, I can't recommend this movie enough.  	1
Call me a nut, but I think this is one of the best movies ever.  	1
Great character actors Telly Savalas and Peter Boyle.  	1
1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  	0
Lots of holes in the script.  	0
It's like a bad two hour TV movie.  	0
Now imagine that every single one of those decisions was made wrong.  	0
The dialogue is atrocious.  	0
The acting is beyond abysmal.  	0
Everything stinks.  	0
Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  	0
Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  	0
It's dumb and pointless, and a complete waste of time.  	0
In short, don't bother with this movie.  	0
I won't spoil it, but the ending in pretty amazing.  	1
The best scene in the movie is at the end, but I won't spoil it.  	1
If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  	1
The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  	1
A film not easily forgotten.  	1
But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  	1
The scripting of the subtle comedy is unmatched by any movie in recent years.  	1
The characters are interesting, even if a bit predictable.  	1
Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  	1
Great movie!  	1
Also the story and acting were weak.  	0
At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  	0
Either way, it sucks.  	0
The script is horrendously stupid.  	0
The story starts too fast with absolutely no suspense or build-up in the slightest.  	0
Everything Captain Howdy says is either laughable or just plain stupid.  	0
What the hell kind of crap is that?!  	0
Then, there's the plot holes.  	0
You could drive a semi truck into these holes!  	0
Linda Cardellini is the only thing good in this film.  	1
She's poised and amazing.  	1
Dee Snider just plain sucks.  	0
He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  	0
I was bored throughout the whole damn thing.  	0
The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  	0
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  	0
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  	0
A piece of cinematic garbage captured on celluloid.  	0
Avoid at any and all costs.  	0
At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  	0
Avoid this film at all costs.  	0
I don't know what happened in Season Five, what a mess.  	0
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  	0
Now this is a movie I really dislike.  	0
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  	0
The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  	0
The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  	0
There aren't death scenes like in previous movies and the f/x are terrible.  	0
I felt asleep the first time I watched it, so I can recommend it for insomniacs.  	0
The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  	1
The best part about Nurse Betty"" is it's unpredictability.  "
647,1,"Director Neil LaBute uses brutal violence to seperate dreams from reality, and along with the touching drama, and hilarious comedy, you can never tell what is going to happen next.  "
648,0,"Otherwise, don't even waste your time on this.  "
649,0,This one just fails to create any real suspense.  
650,0,"As for the killer, don't expect anything original or even remotely frightening.  "
651,1,"There is, however, some pretty good acting (at least, for this type of film).  "
652,0,I'm so sorry but I really can't recommend it to anyone.  
653,0,"One of the most boring,pointless movies I have ever seen.  "
654,0,The secondary plot line is incomprehensible and its relation to the primary plot line is mystifying.  
655,0,Hated it.  
656,0,This is one of the worst Sandra Bullock movie since Speed 2 But not quite that bad.  
657,0,"I don't understand how this garbage got on the shelves of the movie store, it's not even a real movie!  "
658,0,I highly doubt that anyone could ever like this trash.  
659,0,This is not movie-making.  
660,0,"The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.  "
661,0,"So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!  "
662,1,I saw this short film on HBO the other day and absolutely loved it.  
663,1,I didn't realize how wonderful the short really is until the last two scenes.  
664,1,Excellent short film.  
665,1,"Hopefully, the director James Cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.  "
666,0,"I agree with Jessica, this movie is pretty bad.  "
667,0,"Characters are one-dimensional, even the good guys and especially the bad guys.  "
668,0,The story line is totally predictable.  
669,1,"Not much dialogue, not much music, the whole film was shot as elaborately and aesthetically like a sculpture.  "
670,0,I've seen soap operas more intelligent than this movie.  
671,0,"Bad characters, bad story and bad acting.  "
672,0,Really awful.  
673,0,Not easy to watch.  
674,1,"Funny, clever, hip - just like Pray's previous film, Hype!  "
675,1,It was a long time that i didn't see a so charismatic actor on screen.  
676,1,Paolo Sorrentino has written a wonderful story about loneliness and Tony has built one of the most unforgettable characters seen in movies in recent years.  
677,1,The movie is not completely perfect but 'Titta Di Girolamo' will stay with you for a long time after the vision of the movie.  
678,1,I rate this movie 9/10.  
679,1,"I do not know if this was Emilio Estevez's directorial debut, but the pacing, the interplay and development of the characters as well as some clever camera work surrounding the character Estevez plays all suggest a natural eye.  "
680,1,The interplay between Martin and Emilio contains the same wonderful chemistry we saw in Wall Street with Martin and Charlie.  
681,1,"Kathy Bates is wonderful in her characters subtle desperation and escapism; a variation on her character in ""At Play In The Fields Of The Lord"".  "
682,1,For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  
683,1,"It never condescends, all the characters have good genuine hearts and believable problems.  "
684,1,The two main characters may be two of the most believable children I ever saw put on screen.  
685,1,"They are so easy to love, but even more easy to identify with.  "
686,1,This movie is great--especially if you enjoy visual arts.  
687,1,The scenery that the two daughters paint and photograph are beautiful.  
688,1,The story is also both funny and poignant at times.  
689,1,"People who like European films and ""art movies"" will like this movie.  "
